C, fscore, accuracy, precision, recall
0.001, 0.810016646039905, 0.8221105123221826, 0.8119268314308595, 0.8221105123221826
0.01, 0.8210169762077356, 0.8268133463648152, 0.8190821174418403, 0.8268133463648152
0.05, 0.8203429310290478, 0.8251744337966516, 0.8187537701042711, 0.8251744337966516
0.1, 0.8200259242801906, 0.8246756679856186, 0.8186184877744227, 0.8246756679856186
0.5, 0.819410465322367, 0.8239631191040748, 0.818080484111998, 0.8239631191040748
1, 0.8193705687970503, 0.8239274748406782, 0.818041182967608, 0.8239274748406782
1.5, 0.8193434038355456, 0.8238918623118465, 0.8180370293255674, 0.8238918623118465
5, 0.819496813053752, 0.8240343695493901, 0.8181969743809319, 0.8240343695493901
10, 0.8195672610214622, 0.8241056199947053, 0.8182722896573906, 0.8241056199947053
